Source,Target
F1ABES,C1ABES
F1ABES,RM1-O-ABES
F2ABES,RM1-O-ABES
F3ABES,RM1-O-ABES
F4ABES,RM1-O-ABES
F5ABES,RM1-B-ABES
F6ABES,RM1-O-ABES
F7ABES,C1ABES
F7ABES,RM1-O-ABES
F8ABES,C1ABES
F9ABES,C1ABES
F10ABES,RM1-B-ABES
F1P,RM1-O-P
F2P,RM1-O-P
F3P,RM1-M-P
F4P,RM1-O-P
F5P,C1P
F6P,RM1-O-P
F6P,C1P
F7P,C2P
F8P,C3P
F9P,RM1-O-P
F10P,C1P
F10P,RM1-O-P
F11P,RM1-O-P
F1B,RM1-O-B
F2B,C1B
F3B,C2B
F4B,C3B
F5B,C3B
F6B,C2B
F7B,C2B
F8B,C4B
F9B,C5B
F10B,C1B
F11B,C1B
F1AU,C1AU
F2AU,RM1-M-AU
F3AU,C2AU
F4AU,C3AU
F4AU,RM1-O-AU
F5AU,RM1-O-AU
F6AU,C1AU
F7AU,RM1-O-AU
F8AU,C2AU
F9AU,C1AU
F10AU,C4AU
F11AU,RM1-O-AU
F1ATIM,C1ATIM
F2ATIM,RM1-O-ATIM
F3ATIM,C1ATIM
F4ATIM,RM1-O-ATIM
F5ATIM,C2ATIM
F6ATIM,RM1-O-ATIM
F7ATIM,C2ATIM
F8ATIM,C3ATIM
F9ATIM,C2ATIM
F10ATIM,C2ATIM
