Source,Target
F1abes,C1ABES
F1abes,RM1-O-ABES
F2abes,RM1-O-ABES
F3abes,RM1-O-ABES
F4abes,RM1-O-ABES
F5abes,RM1-B-ABES
F6abes,RM1-O-ABES
F7abes,C1ABES
F7abes,RM1-O-ABES
F8abes,C1ABES
F9abes,C1ABES
F10abes,RM1-B-ABES
F1p,RM1-O-P
F2p,RM1-O-P
F3p,RM1-M-P
F4p,RM1-O-P
F5p,C1P
F6p,RM1-O-P
F6p,C1P
F7p,C2P
F8p,C3P
F9p,RM1-O-P
F10p,C1P
F10p,RM1-O-P
F11p,RM1-O-P
F1b,RM1-O-B
F2b,C1B
F3b,C2B
F4b,C3B
F5b,C3B
F6b,C2B
F7b,C2B
F8b,C4B
F9b,C5B
F10b,C1B
F11b,C1B
F1au,C1AU
F2au,RM1-M-AU
F3au,C2AU
F4au,C3AU
F4au,RM1-O-AU
F5au,RM1-O-AU
F6au,C1AU
F7au,RM1-O-AU
F8au,C2AU
F9au,C1AU
F10au,C4AU
F11au,RM1-O-AU
F1atim,C1ATIM
F2atim,RM1-O-ATIM
F3atim,C1ATIM
F4atim,RM1-O-ATIM
F5atim,C2ATIM
F6atim,RM1-O-ATIM
F7atim,C2ATIM
F8atim,C3ATIM
F9atim,C2ATIM
F10atim,C2ATIM
C1abes,RM1-O-ABES
